Code,Name,Name indo
U+1F3A7,headphone,headphone
U+1F4FB,radio,radio
U+1F3B7,saxophone,saxophone
U+1FA97,accordion,Akordion
U+1F3B8,guitar,gitar
U+1F3B9,musical keyboard,papan tik musik
U+1F3BA,trumpet,terompet
U+1F3BB,violin,biola
U+1FA95,banjo,banjo
U+1F941,drum,drum
U+1FA98,long drum,drum panjang
U+1F4F1,mobile phone,ponsel
U+1F4F2,mobile phone with arrow,telepon seluler dengan panah
U+260E,telephone,telepon
U+1F4DE,telephone receiver,penerima telepon
U+1F4DF,pager,pager
U+1F4E0,fax machine,mesin fax
U+1F50B,battery,baterai
U+1F50C,electric plug,plug listrik
U+1F5A5,desktop computer,komputer desktop
U+1F5A8,printer,pencetak
U+2328,keyboard,papan tik
U+1F5B1,computer mouse,tetikus komputer
U+1F5B2,trackball,trackball
U+1F4BD,computer disk,cakram komputer
U+1F4BE,floppy disk,disket floppy
U+1F4BF,optical disk,Disk optik
U+1F4C0,dvd,dvd
U+1F9EE,abacus,sempoa
U+1F3A5,movie camera,kamera film
U+1F39E,film frames,bingkai film
U+1F4FD,film projector,Proyektor film
U+1F3AC,clapper board,papan clapper
U+1F4FA,television,televisi
U+1F4F7,camera,kamera
U+1F4F8,camera with flash,kamera dengan flash
U+1F4F9,video camera,kamera video
U+1F4FC,videocassette,videocasette
U+1F50D,magnifying glass tilted left,kaca pembesar miring kiri
U+1F50E,magnifying glass tilted right,kaca pembesar miring kanan
U+1F56F,candle,lilin
U+1F4A1,light bulb,bola lampu
U+1F526,flashlight,senter
U+1F3EE,red paper lantern,lentera kertas merah
U+1FA94,diya lamp,lampu diya
U+1F4D4,notebook with decorative cover,notebook dengan penutup dekoratif
U+1F4D5,closed book,buku tertutup
U+1F4D6,open book,buka buku
U+1F4D7,green book,buku hijau
U+1F4D8,blue book,buku biru
U+1F4D9,orange book,buku jeruk
U+1F4DA,books,buku
U+1F4D3,notebook,notebook
U+1F4D2,ledger,buku besar
U+1F4C3,page with curl,halaman dengan ikal
U+1F4DC,scroll,geser
U+1F4C4,page facing up,halaman menghadap ke atas
U+1F4F0,newspaper,surat kabar
U+1F5DE,rolled up newspaper,gulung surat kabar
U+1F4D1,bookmark tabs,tab bookmark
U+1F516,bookmark,bookmark
U+1F3F7,label,label
U+1F4B0,money bag,tas uang
U+1FA99,coin,koin
U+1F4B4,yen banknote,yen banknote
U+1F4B5,dollar banknote,dollar banknote
U+1F4B6,euro banknote,euro banknote
U+1F4B7,pound banknote,pound banknote
U+1F4B8,money with wings,uang dengan sayap
U+1F4B3,credit card,kartu kredit
U+1F9FE,receipt,tanda terima
U+1F4B9,chart increasing with yen,grafik meningkat dengan yen
U+2709,envelope,amplop
U+1F4E7,e mail,e surat
U+1F4E8,incoming envelope,amplop masuk
U+1F4E9,envelope with arrow,amplop dengan panah
U+1F4E4,outbox tray,baki outbox
U+1F4E5,inbox tray,baki inbox
U+1F4E6,package,paket
U+1F4EB,closed mailbox with raised flag,kotak surat tertutup dengan bendera dinaikkan
U+1F4EA,closed mailbox with lowered flag,kotak surat ditutup dengan bendera yang diturunkan
U+1F4EC,open mailbox with raised flag,buka kotak surat dengan bendera yang dinaikkan
U+1F4ED,open mailbox with lowered flag,membuka kotak surat dengan bendera yang diturunkan
U+1F4EE,postbox,kotak pos
U+1F5F3,ballot box with ballot,kotak suara dengan suara
U+270F,pencil,pensil
U+2712,black nib,nib hitam
U+1F58B,fountain pen,pena air mancur
U+1F58A,pen,pena
U+1F58C,paintbrush,kuas cat
U+1F58D,crayon,krayon
U+1F4DD,memo,memo
U+1F4C1,file folder,folder berkas
U+1F4C2,open file folder,buka berkas folder
U+1F5C2,card index dividers,pemisah indeks kartu
U+1F4C5,calendar,kalender
U+1F4C6,tear off calendar,kalender yang dapat dilepas
U+1F5D2,spiral notepad,notepad spiral
U+1F5D3,spiral calendar,kalender spiral
U+1F4C7,card index,indeks kartu
U+1F4C8,chart increasing,bagan meningkat
U+1F4C9,chart decreasing,bagan menurun
U+1F4CA,bar chart,bagan bar
U+1F4CB,clipboard,papan klip
U+1F4CC,pushpin,pushpin
U+1F4CD,round pushpin,putaran pushpin
U+1F4CE,paperclip,Klip kertas
U+1F587,linked paperclips,klip kertas terkait
U+1F4CF,straight ruler,penggaris lurus
U+1F4D0,triangular ruler,penguasa segitiga
U+2702,scissors,gunting
U+1F5C3,card file box,kotak berkas kartu
U+1F5C4,file cabinet,lemari berkas
U+1F5D1,wastebasket,washbasket
U+1F512,locked,terkunci
U+1F513,unlocked,tak terkunci
U+1F50F,locked with pen,terkunci dengan pena
U+1F510,locked with key,terkunci dengan kunci
U+1F511,key,kunci
U+1F5DD,old key,kunci lama
U+1F528,hammer,palu
U+1FA93,axe,kapak
U+26CF,pick,pilih
U+2692,hammer and pick,palu dan pick
U+1F6E0,hammer and wrench,palu dan kunci pas
U+1F5E1,dagger,belati
U+2694,crossed swords,pedang silang
U+1F52B,pistol,pistol
U+1FA83,boomerang,bumerang
U+1F3F9,bow and arrow,busur dan anak panah
U+1F6E1,shield,perisai
U+1FA9A,carpentry saw,tukang kayu melihat
U+1FA9B,screwdriver,obeng
U+1F529,nut and bolt,kacang dan baut
U+2699,gear,Gigi
U+1F5DC,clamp,klem
U+1F517,link,taut
U+26D3,chains,rantai
U+1FA9D,hook,kait
U+1F9F0,toolbox,Toolbox
U+1F9F2,magnet,Magnet
U+1FA9C,ladder,tangga
U+2697,alembic,alembic
U+1F9EA,test tube,tabung uji
U+1F9EB,petri dish,cawan petri
U+1F9EC,dna,dna
U+1F52D,telescope,teleskop
U+1F4E1,satellite antenna,antena satelit
U+1F489,syringe,jarum suntik
U+1FA78,drop of blood,setetes darah
U+1F48A,pill,Pil
U+1FA79,adhesive bandage,Perban perekat
U+1FA7A,stethoscope,stetoskop
U+1F6AA,door,pintu
U+1F6D7,elevator,lift
U+1FA9E,mirror,cermin
U+1FA9F,window,jendela
U+1F6CF,bed,ranjang
U+1F6CB,couch and lamp,(Dan kasur-kasur yang tebal lagi empuk) yang diletakkan di atas dipan-dipan.
U+1FA91,chair,pimpinan
U+1F6BD,toilet,toilet
U+1FAA0,plunger,plunger
U+1F6BF,shower,hujan singkatweather forecast
U+1F6C1,bathtub,bak mandi
U+1FAA4,mouse trap,Jebakan tetikus
U+1FA92,razor,silet
U+1F9F4,lotion bottle,Botol lotion
U+1F9F7,safety pin,patok pengaman
U+1F9F9,broom,sapu
U+1F9FA,basket,keranjang
U+1F9FB,roll of paper,gulungan kertas
U+1FAA3,bucket,ember
U+1F9FC,soap,sabun
U+1FAA5,toothbrush,sikat gigi
U+1F9FD,sponge,spons
U+1F9EF,fire extinguisher,pemadam api
U+1F6D2,shopping cart,gerobak belanja
U+1F6AC,cigarette,rokok
U+26B0,coffin,peti mati
U+1FAA6,headstone,headstone
U+26B1,funeral urn,guci pemakaman
U+1F5FF,moai,moai
U+1FAA7,placard,plakat
U+1F3E7,ATM sign,Tanda ATM
U+1F6AE,litter in bin sign,sampah di tanda sampah
U+1F6B0,potable water,air yang dapat diminum
U+267F,wheelchair symbol,simbol kursi roda
U+1F6B9,men s room,mens s room
U+1F6BA,women s room,kamar perempuan
U+1F6BB,restroom,Kamar kecil
U+1F6BC,baby symbol,simbol bayi
U+1F6BE,water closet,lemari air
U+1F6C2,passport control,kontrol paspor
U+1F6C3,customs,adat
U+1F6C4,baggage claim,klaim bagasi
U+1F6C5,left luggage,bagasi kiri
U+26A0,warning,peringatan
U+1F6B8,children crossing,anak-anak menyeberang
U+26D4,no entry,tidak ada entri
U+1F6AB,prohibited,dilarang
U+1F6B3,no bicycles,tidak ada sepeda
U+1F6AD,no smoking,tidak merokok
U+1F6AF,no littering,jangan buang sampah sembarangan
U+1F6B1,non potable water,bukan air yang bisa diminum
U+1F6B7,no pedestrians,tidak ada pejalan kaki
U+1F4F5,no mobile phones,tidak ada telepon genggam
U+1F51E,no one under eighteen,tidak ada yang di bawah delapan belas
U+2622,radioactive,radioaktif
U+2623,biohazard,Biohazard
U+2B06,up arrow,panah ke atas
U+2197,up right arrow,panah kanan atas
U+27A1,right arrow,panah ke kanan
U+2198,down right arrow,panah kanan bawah
U+2B07,down arrow,panah ke bawah
U+2199,down left arrow,panah ke kiri
U+2B05,left arrow,panah ke kiri
U+2196,up left arrow,panah ke kiri
U+2195,up down arrow,panah ke bawah
U+2194,left right arrow,panah kanan kiri
U+21A9,right arrow curving left,panah kanan melengkung ke kiri
U+21AA,left arrow curving right,panah kiri melengkung kanan
U+2934,right arrow curving up,panah kanan melengkung
U+2935,right arrow curving down,panah kanan melengkung ke bawah
U+1F503,clockwise vertical arrows,panah vertikal searah jarum jam
U+1F504,counterclockwise arrows button,tombol panah berlawanan arah jarum jam
U+1F519,BACK arrow,Panah BACK
U+1F51A,END arrow,Panah akhir
U+1F51B,ON  arrow,Pada panah
U+1F51C,SOON arrow,SEGERA panah
U+1F51D,TOP arrow,Panah TOP
U+1F6D0,place of worship,tempat ibadah
U+269B,atom symbol,simbol atom
U+1F549,om,om
U+2721,star of David,bintang Daud
U+2638,wheel of dharma,roda farma
U+262F,yin yang,yin yang
U+271D,latin cross,Salib latin
U+2626,orthodox cross,salib ortodoks
U+262A,star and crescent,bintang dan bulan sabit
U+262E,peace symbol,simbol perdamaian
U+1F54E,menorah,menorah
U+1F52F,dotted six pointed star,bintang enam titik-titik menunjuk
U+2648,Aries,Aries
U+2649,Taurus,Taurus
U+264A,Gemini,Gemini
U+264B,Cancer,Kanker
U+264C,Leo,Leo
U+264D,Virgo,Virgo
U+264E,Libra,Libra
U+264F,Scorpio,Scorpio
U+2650,Sagittarius,Sagitarius
U+2651,Capricorn,Capricorn
U+2652,Aquarius,Aquarius
U+2653,Pisces,Pisces
U+26CE,Ophiuchus,Ophiuchus
U+1F500,shuffle tracks button,tombol trek kocok
U+1F501,repeat button,tombol pengulangan
U+1F502,repeat single button,ulangi tombol tunggal
U+25B6,play button,tombol putar
U+23E9,fast forward button,tombol maju cepat
U+23ED,next track button,tombol trek selanjutnya
U+23EF,play or pause button,putar atau pause tombol
U+25C0,reverse button,tombol balik
U+23EA,fast reverse button,tombol mundur cepat
U+23EE,last track button,tombol trek terakhir
U+1F53C,upwards button,ke atas tombol
U+23EB,fast up button,tombol speed up
U+1F53D,downwards button,tombol bawah
U+23EC,fast down button,tombol cepat bawah
U+23F8,pause button,tombol jeda
U+23F9,stop button,tombol berhenti
U+23FA,record button,tombol rekaman
U+23CF,eject button,tombol eject
U+1F3A6,cinema,bioskop
U+1F505,dim button,tombol dim
U+1F506,bright button,tombol terang
U+1F4F6,antenna bars,batang antena
U+1F4F3,vibration mode,mode getaran
U+1F4F4,mobile phone off,ponsel mati
U+26A7,transgender flag,bendera transgender
U+2716,multiply,kalikan
U+2795,plus,tambah
U+2796,minus,minus
U+2797,divide,bagi
U+267E,infinity,tak terhingga
U+203C,double exclamation mark,tanda seru ganda
U+2049,exclamation question mark,tanda tanya seru
U+2753,question mark,tanda tanya
U+2754,white question mark,tanda tanya putih
U+2755,white exclamation mark,tanda seru putih
U+2757,exclamation mark,tanda seru
U+3030,wavy dash,dash bergelombang
U+1F4B1,currency exchange,pertukaran mata uang
U+1F4B2,heavy dollar sign,tanda dolar berat
U+267B,recycling symbol,recycle simbol
U+269C,fleur de lis,fleur de lis
U+1F531,trident emblem,simbol trisula
U+1F4DB,name badge,lencana nama
U+1F530,Japanese symbol for beginner,Simbol Jepang untuk pemula
U+2B55,hollow red circle,lingkaran merah berongga
U+2705,check mark button,tombol tanda cek
U+2611,check box with check,kotak cek dengan cek
U+2714,check mark,tanda contreng
U+274C,cross mark,tanda silang
U+274E,cross mark button,tombol tanda silang
U+27B0,curly loop,Loop keriting
U+27BF,double curly loop,loop keriting ganda
U+303D,part alternation mark,tanda perubahan bagian
U+2733,eight spoked asterisk,delapan tanda bintang bernada
U+2734,eight pointed star,bintang delapan menunjuk
U+2747,sparkle,berkilau
U+00A9,copyright,hak cipta
U+00AE,registered,terdaftar
U+2122,trade mark,tanda tukar
U+0023,keycap,keycap
U+20E3,keycap  9,keycap 9
U+002A,keycap,keycap
U+0030,keycap  0,keycap 0
U+0031,keycap  1,keycap 1
U+0032,keycap  2,keycap 2
U+0033,keycap  3,keycap 3
U+0034,keycap  4,keycap 4
U+0035,keycap  5,keycap 5
U+0036,keycap  6,keycap 6
U+0037,keycap  7,keycap 7
U+0038,keycap  8,keycap 8
U+0039,keycap  9,keycap 9
U+1F51F,keycap  10,keycap 10
U+1F520,input latin uppercase,input latin huruf besar
U+1F521,input latin lowercase,masukan latin huruf kecil
U+1F522,input numbers,nomor masukan
U+1F523,input symbols,simbol masukan
U+1F524,input latin letters,masukan huruf latin
U+1F170,A button  blood type,Tipe tombol darah
U+1F18E,AB button  blood type,Tipe darah tombol AB
U+1F171,B button  blood type,Golongan darah tombol B
U+1F191,CL button,Tombol CL
U+1F192,COOL button,Tombol COOL
U+1F193,FREE button,Tombol FEBLE
U+2139,information,informasi
U+1F194,ID button,Tombol ID
U+24C2,circled M,dilingkari M
U+1F195,NEW button,Tombol baru
U+1F196,NG button,Tombol NG
U+1F17E,O button  blood type,O tombol jenis darah
U+1F197,OK button,Tombol OK
U+1F17F,P button,Tombol P
U+1F198,SOS button,Tombol SOS
U+1F199,UP  button,Tombol UP
U+1F19A,VS button,Tombol VS
U+1F201,Japanese  here  button,Tombol di sini Jepang
U+1F202,Japanese  service charge  button,Tombol pengisian layanan Jepang
U+1F237,Japanese  monthly amount  button,Tombol jumlah bulanan Jepang
U+1F236,Japanese  not free of charge  button,Jepang tidak bebas dari tombol muatan
U+1F22F,Japanese  reserved  button,Tombol cadangan Jepang
U+1F250,Japanese  bargain  button,Tombol tawar-menawar Jepang
U+1F239,Japanese  discount  button,Tombol diskon Jepang
U+1F21A,Japanese  free of charge  button,Jepang bebas biaya tombol
U+1F232,Japanese  prohibited  button,Tombol terlarang Jepang
U+1F251,Japanese  acceptable  button,Tombol dapat diterima Jepang
U+1F238,Japanese  application  button,Tombol aplikasi Jepang
U+1F234,Japanese  passing grade  button,Jepang melewati tombol kelas
U+1F233,Japanese  vacancy  button,Tombol kekosongan Jepang
U+3297,Japanese  congratulations  button,Tombol selamat Jepang
U+3299,Japanese  secret  button,Tombol rahasia Jepang
U+1F23A,Japanese  open for business  button,Jepang terbuka untuk tombol bisnis
U+1F235,Japanese  no vacancy  button,Jepang tidak ada tombol vacansi
U+1F534,red circle,lingkaran merah
U+1F7E0,orange circle,lingkaran oranye
U+1F7E1,yellow circle,Lingkaran kuning
U+1F7E2,green circle,lingkaran hijau
U+1F535,blue circle,lingkaran biru
U+1F7E3,purple circle,lingkaran ungu
U+1F7E4,brown circle,lingkaran coklat
U+26AB,black circle,lingkaran hitam
U+26AA,white circle,lingkaran putih
U+1F7E5,red square,persegi merah
U+1F7E7,orange square,persegi oranye
U+1F7E8,yellow square,kuartal kuning
U+1F7E9,green square,persegi hijau
U+1F7E6,blue square,persegi biru
U+1F7EA,purple square,kuartal ungu
U+1F7EB,brown square,brown square
U+2B1C,white large square,bujur sangkar besar putih
U+25FC,black medium square,Black medium square
U+25FB,white medium square,bujur sangkar medium putih
U+25FE,black medium small square,Black medium small square
U+25FD,white medium small square,putih sedang kecil persegi
U+25AA,black small square,black small square
U+25AB,white small square,putih persegi kecil
U+1F536,large orange diamond,berlian jeruk besar
U+1F537,large blue diamond,berlian biru besar
U+1F538,small orange diamond,berlian oranye kecil
U+1F539,small blue diamond,berlian biru kecil
U+1F53A,red triangle pointed up,segitiga merah menunjuk ke atas
U+1F53B,red triangle pointed down,segitiga merah menunjuk ke bawah
U+1F4A0,diamond with a dot,diamond with a dot
U+1F518,radio button,tombol radio
U+1F533,white square button,tombol kuadrat putih
U+1F532,black square button,tombol kuadrat hitam
U+1F3C1,chequered flag,bendera checkered
U+1F6A9,triangular bendera,bendera segitiga
U+1F38C,crossed flags,tanda silang
U+1F3F4,flag  Wales,bendera Wales
U+1F3F3,transgender flag,bendera transgender
U+1F1E6,flag  South Africa,bendera Afrika Selatan
U+1F1E8,flag  St  Vincent   Grenadines,tandai St Vincent Grenadines
U+1F1E9,flag  Chad,tandai Chad
U+1F1EA,flag  Yemen,tandai Yaman
U+1F1EB,flag  Wallis   Futuna,bendera Wallis Futuna
U+1F1EC,flag  British Virgin Islands,bendera Kepulauan British Virgin
U+1F1EE,flag  U S  Virgin Islands,bendera Kepulauan U S Virgin
U+1F1F1,flag  Timor Leste,bendera Timor Leste
U+1F1F2,flag  Zambia,bendera Zambia
U+1F1F4,flag  Tonga,bendera Tonga
U+1F1F6,flag  Qatar,tanda Qatar
U+1F1F7,flag  Turkey,tandai Turki
U+1F1F8,flag  Samoa,bendera Samoa
U+1F1F9,flag  Mayotte,bendera Mayotte
U+1F1FA,flag  Vanuatu,bendera Vanuatu
U+1F1FC,flag  Zimbabwe,tandai Zimbabwe
U+1F1FD,flag  Kosovo,bendera Kosovo
U+1F1FF,flag  Zimbabwe,tandai Zimbabwe
U+1F1E7,flag  Solomon Islands,tandai Kepulauan Solomon
U+1F1ED,flag  Thailand,bendera Thailand
U+1F1EF,flag  Tajikistan,bendera Tajikistan
U+1F1F3,flag  Vietnam,tandai Vietnam
U+1F1FB,flag  Vanuatu,bendera Vanuatu
U+1F1FE,flag  Mayotte,bendera Mayotte
U+1F1F0,flag  Kosovo,bendera Kosovo
U+1F1F5,flag  Paraguay,tandai Paraguay
U+E0067,flag  Wales,bendera Wales
U+E0062,flag  Wales,bendera Wales
U+E0065,flag  England,tandai Inggris
U+E006E,flag  England,tandai Inggris
U+E007F,flag  Wales,bendera Wales
U+E0073,flag  Wales,bendera Wales
U+E0063,flag  Scotland,tandai Skotlandia
U+E0074,flag  Scotland,tandai Skotlandia
U+E0077,flag  Wales,bendera Wales
U+E006C,flag  Wales,bendera Wales